d_date_id,Numerator,d_level0_id,Denominator,d_kpi_id,d_level1_id,d_level2_id
20210713,252714796.3075401,1,0,22,7,1
20210714,253470916.90351623,1,0,22,7,1
20210715,260218474.89939246,1,0,22,7,1
20210716,254457008.33192378,1,0,22,7,1
20210717,251202510.32963726,1,0,22,7,1
20210718,252263865.26778704,1,0,22,7,1
20210719,247583522.23650295,1,0,22,7,1
20210720,240379380.98774636,1,0,22,7,1
20210721,245941411.53099093,1,0,22,7,1
20210722,264700001.43257654,1,0,22,7,1
20210723,275603052.85390395,1,0,22,7,1
20210724,283770267.57190543,1,0,22,7,1
20210725,288072563.42462754,1,0,22,7,1
20210726,291636098.05825406,1,0,22,7,1
20210727,299206012.4396182,1,0,22,7,1
20210728,295675433.7132304,1,0,22,7,1
20210729,304401816.76872694,1,0,22,7,1
20210730,308939738.7422712,1,0,22,7,1
20210731,312048893.44152987,1,0,22,7,1
20210801,302493205.1458556,1,0,22,7,1
20210802,301692109.48443025,1,0,22,7,1
20210803,297045531.5561712,1,0,22,7,1
20210804,282228082.41792536,1,0,22,7,1
20210805,315011770.5286235,1,0,22,7,1
20210806,328527426.368926,1,0,22,7,1
20210807,344534249.0824711,1,0,22,7,1
20210808,340599493.0823836,1,0,22,7,1
20210809,345215015.7681622,1,0,22,7,1
20210810,350714836.54389185,1,0,22,7,1
20210811,362375332.51978374,1,0,22,7,1
20210812,359331032.17451507,1,0,22,7,1
20210813,380245701.60929775,1,0,22,7,1
20210814,382689651.2912761,1,0,22,7,1
20210815,382657160.47289765,1,0,22,7,1
20210816,395558975.2313985,1,0,22,7,1
20210817,391979662.23270696,1,0,22,7,1
20210818,401550190.51266754,1,0,22,7,1
20210819,419736018.4109013,1,0,22,7,1
20210820,430054922.4634902,1,0,22,7,1
20210821,448014784.7285224,1,0,22,7,1
20210822,460552049.44962084,1,0,22,7,1
20210823,485768298.18548435,1,0,22,7,1
20210824,469050306.4307548,1,0,22,7,1
20210825,478704143.61268187,1,0,22,7,1
20210826,459375659.5734936,1,0,22,7,1
20210827,416763229.8737922,1,0,22,7,1
20210828,514880913.4107918,1,0,22,7,1
20210829,525305330.08375335,1,0,22,7,1
20210830,672403851.1389871,1,0,22,7,1
20210831,705901560.548272,1,0,22,7,1
20210901,803786769.965632,1,0,22,7,1
20210902,892264872.7062807,1,0,22,7,1
20210903,909619750.6179012,1,0,22,7,1
20210904,973421454.1532274,1,0,22,7,1
20210905,1047372350.9304314,1,0,22,7,1
20210906,1282826919.3115537,1,0,22,7,1
20210907,1264319380.8585649,1,0,22,7,1
20210908,1338923665.4939334,1,0,22,7,1
20210909,1380316988.1552463,1,0,22,7,1
20210910,1314342615.5064404,1,0,22,7,1
20210911,1331424608.3273623,1,0,22,7,1
20210912,1324744020.542876,1,0,22,7,1
20210913,1297698288.1032922,1,0,22,7,1
20210914,1243161500.6912723,1,0,22,7,1
20210915,1291300225.4556916,1,0,22,7,1
20210916,1248863611.9086907,1,0,22,7,1
20210917,1203656934.076954,1,0,22,7,1
20210918,1241350218.7728274,1,0,22,7,1
20210919,1302778462.9902983,1,0,22,7,1
20210920,1195277343.7360725,1,0,22,7,1
20210921,1089617311.1001086,1,0,22,7,1
20210922,1213660713.7548351,1,0,22,7,1
20210923,1237689610.2057772,1,0,22,7,1
20210924,1226437826.3715494,1,0,22,7,1
20210925,1254047329.7749953,1,0,22,7,1
20210926,1256092770.573451,1,0,22,7,1
20210927,1316978628.6290932,1,0,22,7,1
20210928,1345399854.867667,1,0,22,7,1
20210929,1358263315.5029309,1,0,22,7,1
20210930,1340510179.397619,1,0,22,7,1
20211001,1498898141.659423,1,0,22,7,1
20211002,1575702760.1165318,1,0,22,7,1
20211003,1591197744.9919355,1,0,22,7,1
20211004,1549291873.3018587,1,0,22,7,1
20211005,1582686962.2885027,1,0,22,7,1
20211006,1577015979.9687128,1,0,22,7,1
20211007,2023796455.267258,1,0,22,7,1
20211008,4265778674.30134,1,0,22,7,1
20211009,5321917983.708283,1,0,22,7,1
20211010,5684101715.74795,1,0,22,7,1
20211011,5514936091.523561,1,0,22,7,1
20211012,5436338340.700859,1,0,22,7,1
20211013,5021389954.485402,1,0,22,7,1
20211014,4933243189.960761,1,0,22,7,1
20211015,4989829469.349905,1,0,22,7,1
20211016,5000652561.20102,1,0,22,7,1
20211017,5031396684.575102,1,0,22,7,1
20211018,5206484486.81607,1,0,22,7,1
