d_date_id,Numerator,d_level0_id,Denominator,d_kpi_id,d_level1_id,d_level2_id
20190608,447605913.5957063,1,0,22,2,1
20190609,448351880.1790335,1,0,22,2,1
20190610,438480354.1169965,1,0,22,2,1
20190611,440517230.83969915,1,0,22,2,1
20190612,435970535.7666492,1,0,22,2,1
20190613,452550619.68512076,1,0,22,2,1
20190614,464851007.99379796,1,0,22,2,1
20190615,462761666.2712247,1,0,22,2,1
20190616,473796146.7767388,1,0,22,2,1
20190617,487335762.04343724,1,0,22,2,1
20190618,491236665.34672457,1,0,22,2,1
20190619,483154914.803848,1,0,22,2,1
20190620,482631807.9593107,1,0,22,2,1
20190621,483934157.6678034,1,0,22,2,1
20190622,520731644.948296,1,0,22,2,1
20190623,549489740.834414,1,0,22,2,1
20190624,547492280.7627176,1,0,22,2,1
20190625,548986684.6711022,1,0,22,2,1
20190626,547421035.8039265,1,0,22,2,1
20190627,572277800.8120476,1,0,22,2,1
20190628,533428657.93231225,1,0,22,2,1
20190629,527010422.6511536,1,0,22,2,1
20190630,522784133.8956031,1,0,22,2,1
20190701,516677770.94552475,1,0,22,2,1
20190702,509328879.6431101,1,0,22,2,1
20190703,481484906.7998158,1,0,22,2,1
20190704,510831384.79106134,1,0,22,2,1
20190705,516380463.0677994,1,0,22,2,1
20190706,515225053.3051125,1,0,22,2,1
20190707,506982357.9119053,1,0,22,2,1
20190708,514254031.9830238,1,0,22,2,1
20190709,540719998.1824768,1,0,22,2,1
20190710,545944678.8289315,1,0,22,2,1
20190711,538966907.7774963,1,0,22,2,1
20190712,484820427.7833299,1,0,22,2,1
20190713,490934438.0645247,1,0,22,2,1
20190714,474299359.8868121,1,0,22,2,1
20190715,438400436.6345294,1,0,22,2,1
20190716,437730157.6988632,1,0,22,2,1
20190717,447412045.96190953,1,0,22,2,1
20190718,426252539.4976402,1,0,22,2,1
20190719,418617388.14084524,1,0,22,2,1
20190720,419971290.90930843,1,0,22,2,1
20190721,437987215.683558,1,0,22,2,1
20190722,471705042.0230985,1,0,22,2,1
20190723,421997289.6277974,1,0,22,2,1
20190724,395512282.49458355,1,0,22,2,1
20190725,430989389.6196425,1,0,22,2,1
20190726,411929730.93968815,1,0,22,2,1
20190727,409005871.7017575,1,0,22,2,1
20190728,395584130.8129228,1,0,22,2,1
20190729,397065079.1439975,1,0,22,2,1
20190730,395728592.4733173,1,0,22,2,1
20190731,395234876.4969375,1,0,22,2,1
20190801,403575484.3309693,1,0,22,2,1
20190802,403697344.92549974,1,0,22,2,1
20190803,415102036.5890784,1,0,22,2,1
20190804,421074736.8949151,1,0,22,2,1
20190805,416022911.6162463,1,0,22,2,1
20190806,438567313.5450102,1,0,22,2,1
20190807,426136621.994836,1,0,22,2,1
20190808,424363722.0521991,1,0,22,2,1
20190809,418595836.0098637,1,0,22,2,1
20190810,422258068.1878044,1,0,22,2,1
20190811,422289520.70734876,1,0,22,2,1
20190812,428482439.16033405,1,0,22,2,1
20190813,431621675.8937506,1,0,22,2,1
20190814,436029653.5231872,1,0,22,2,1
20190815,435178556.6702536,1,0,22,2,1
20190816,403427131.0338797,1,0,22,2,1
20190817,403783296.94482857,1,0,22,2,1
20190818,409079853.7670608,1,0,22,2,1
20190819,411885668.6389706,1,0,22,2,1
20190820,440082726.6918445,1,0,22,2,1
20190821,435681764.5311766,1,0,22,2,1
20190822,420735922.32784355,1,0,22,2,1
20190823,419490045.3134345,1,0,22,2,1
20190824,425937789.90382975,1,0,22,2,1
20190825,424220342.29537004,1,0,22,2,1
20190826,426960805.37037617,1,0,22,2,1
20190827,428554263.61115384,1,0,22,2,1
20190828,421947089.89205974,1,0,22,2,1
20190829,433092531.3069073,1,0,22,2,1
20190830,402040103.1454249,1,0,22,2,1
20190831,413086177.7095217,1,0,22,2,1
20190901,408570838.6511902,1,0,22,2,1
20190902,408380918.1426235,1,0,22,2,1
20190903,414146275.1108909,1,0,22,2,1
20190904,427311286.86723644,1,0,22,2,1
20190905,437562586.7343335,1,0,22,2,1
20190906,424462471.75314164,1,0,22,2,1
20190907,429101794.7534008,1,0,22,2,1
20190908,415337563.96908194,1,0,22,2,1
20190909,436983728.82339394,1,0,22,2,1
20190910,440584279.6181926,1,0,22,2,1
20190911,441784801.0145426,1,0,22,2,1
